#GPU,GPU type,Calc type,Topology,Time,Performance
1,MI250,HF Energy, 12, 8.654242, 0.01189
1,MI250,HF Energy, 13, 9.867682, 0.01317
1,MI250,HF Energy, 14, 11.02288, 0.01465
1,MI250,HF Energy, 15, 12.471176, 0.01584
1,MI250,RIHF Energy, 1, 0.052206, 0.1421
1,MI250,RIHF Energy, 2, 0.159587, 0.4544
1,MI250,RIHF Energy, 3, 0.266736, 1.13
1,MI250,RIHF Energy, 4, 0.455972, 1.886
1,MI250,RIHF Energy, 5, 0.701018, 2.813
1,MI250,RIHF Energy, 6, 1.056315, 3.71
1,MI250,RIHF Energy, 7, 1.486094, 4.739
1,MI250,RIHF Energy, 8, 1.535529, 7.646
1,MI250,RIHF Energy, 9, 2.225959, 8.297
1,MI250,RIHF Energy, 10, 2.892293, 9.593
1,MI250,RIHF Gradient, 1, 0.150485, 0.05375
1,MI250,RIHF Gradient, 2, 0.268937, 0.293
1,MI250,RIHF Gradient, 3, 0.395115, 0.8289
1,MI250,RIHF Gradient, 4, 0.603342, 1.549
1,MI250,RIHF Gradient, 5, 0.875604, 2.447
1,MI250,RIHF Gradient, 6, 1.271488, 3.35
1,MI250,RIHF Gradient, 7, 1.769234, 4.326
1,MI250,RIHF Gradient, 8, 1.915734, 6.66
1,MI250,RIHF Gradient, 9, 2.77914, 7.223
1,MI250,RIHF Gradient, 10, 3.515486, 8.578
1,MI250,RIHF + RIMP2 Energy, 1, 0.063166, 0.1709
1,MI250,RIHF + RIMP2 Energy, 2, 0.182141, 0.6541
1,MI250,RIHF + RIMP2 Energy, 3, 0.329528, 1.692
1,MI250,RIHF + RIMP2 Energy, 4, 0.599795, 2.949
1,MI250,RIHF + RIMP2 Energy, 5, 0.988719, 4.513
1,MI250,RIHF + RIMP2 Energy, 6, 1.625566, 5.953
1,MI250,RIHF + RIMP2 Energy, 7, 2.519178, 7.479
1,MI250,RIHF + RIMP2 Energy, 8, 3.016105, 10.12
1,MI250,RIHF + RIMP2 Energy, 9, 4.500946, 10.78
1,MI250,RIHF + RIMP2 Energy, 10, 6.211687, 12.0
1,MI250,RIHF + RIMP2 Gradient, 1, 0.154102, 0.1726
1,MI250,RIHF + RIMP2 Gradient, 2, 0.4239, 0.6958
1,MI250,RIHF + RIMP2 Gradient, 3, 0.830852, 1.682
1,MI250,RIHF + RIMP2 Gradient, 4, 1.559136, 2.883
1,MI250,RIHF + RIMP2 Gradient, 5, 2.652143, 4.308
1,MI250,RIHF + RIMP2 Gradient, 6, 4.585898, 5.436
1,MI250,RIHF + RIMP2 Gradient, 7, 7.575722, 6.439
1,MI250,RIHF + RIMP2 Gradient, 8, 9.48578, 9.214
1,MI250,RIHF + RIMP2 Gradient, 9, 14.665238, 9.84
